run_id,task_id,ecosystem,condition,state_mode,priority,loss_point
T01_OPENAI_DIRECT_NORMAL,T01,OPENAI,DIRECT,NORMAL,CORE,
T01_OPENAI_AI_NATIVE_NORMAL,T01,OPENAI,AI_NATIVE,NORMAL,CORE,
T01_ANTHROPIC_DIRECT_NORMAL,T01,ANTHROPIC,DIRECT,NORMAL,CORE,
T01_ANTHROPIC_AI_NATIVE_NORMAL,T01,ANTHROPIC,AI_NATIVE,NORMAL,CORE,
T02_OPENAI_DIRECT_NORMAL,T02,OPENAI,DIRECT,NORMAL,CORE,
T02_OPENAI_AI_NATIVE_NORMAL,T02,OPENAI,AI_NATIVE,NORMAL,CORE,
T02_ANTHROPIC_DIRECT_NORMAL,T02,ANTHROPIC,DIRECT,NORMAL,CORE,
T02_ANTHROPIC_AI_NATIVE_NORMAL,T02,ANTHROPIC,AI_NATIVE,NORMAL,CORE,
T03_OPENAI_DIRECT_NORMAL,T03,OPENAI,DIRECT,NORMAL,CORE,
T03_OPENAI_AI_NATIVE_NORMAL,T03,OPENAI,AI_NATIVE,NORMAL,CORE,
T03_ANTHROPIC_DIRECT_NORMAL,T03,ANTHROPIC,DIRECT,NORMAL,CORE,
T03_ANTHROPIC_AI_NATIVE_NORMAL,T03,ANTHROPIC,AI_NATIVE,NORMAL,CORE,
T04_OPENAI_DIRECT_NORMAL,T04,OPENAI,DIRECT,NORMAL,CORE,
T04_OPENAI_AI_NATIVE_NORMAL,T04,OPENAI,AI_NATIVE,NORMAL,CORE,
T04_ANTHROPIC_DIRECT_NORMAL,T04,ANTHROPIC,DIRECT,NORMAL,CORE,
T04_ANTHROPIC_AI_NATIVE_NORMAL,T04,ANTHROPIC,AI_NATIVE,NORMAL,CORE,
T05_MIXED_DIRECT_NORMAL,T05,MIXED,DIRECT,NORMAL,CORE,
T05_MIXED_AI_NATIVE_NORMAL,T05,MIXED,AI_NATIVE,NORMAL,CORE,
T05_MIXED_DIRECT_STATE_LOSS,T05,MIXED,DIRECT,STATE_LOSS,CORE,
T05_MIXED_AI_NATIVE_STATE_LOSS,T05,MIXED,AI_NATIVE,STATE_LOSS,CORE,
T06_MIXED_DIRECT_NORMAL,T06,MIXED,DIRECT,NORMAL,CORE,
T06_MIXED_AI_NATIVE_NORMAL,T06,MIXED,AI_NATIVE,NORMAL,CORE,
T06_MIXED_DIRECT_STATE_LOSS,T06,MIXED,DIRECT,STATE_LOSS,CORE,
T06_MIXED_AI_NATIVE_STATE_LOSS,T06,MIXED,AI_NATIVE,STATE_LOSS,CORE,
T07_MIXED_DIRECT_NORMAL,T07,MIXED,DIRECT,NORMAL,CORE,
T07_MIXED_AI_NATIVE_NORMAL,T07,MIXED,AI_NATIVE,NORMAL,CORE,
T07_MIXED_DIRECT_STATE_LOSS,T07,MIXED,DIRECT,STATE_LOSS,CORE,
T07_MIXED_AI_NATIVE_STATE_LOSS,T07,MIXED,AI_NATIVE,STATE_LOSS,CORE,
T03_OPENAI_DIRECT_STATE_LOSS,T03,OPENAI,DIRECT,STATE_LOSS,OPTIONAL,after checkpoint 3/5
T03_OPENAI_AI_NATIVE_STATE_LOSS,T03,OPENAI,AI_NATIVE,STATE_LOSS,OPTIONAL,after checkpoint 3/5
T03_ANTHROPIC_DIRECT_STATE_LOSS,T03,ANTHROPIC,DIRECT,STATE_LOSS,OPTIONAL,after checkpoint 3/5
T03_ANTHROPIC_AI_NATIVE_STATE_LOSS,T03,ANTHROPIC,AI_NATIVE,STATE_LOSS,OPTIONAL,after checkpoint 3/5
T04_OPENAI_DIRECT_STATE_LOSS,T04,OPENAI,DIRECT,STATE_LOSS,OPTIONAL,after checkpoint 4/8
T04_OPENAI_AI_NATIVE_STATE_LOSS,T04,OPENAI,AI_NATIVE,STATE_LOSS,OPTIONAL,after checkpoint 4/8
T04_ANTHROPIC_DIRECT_STATE_LOSS,T04,ANTHROPIC,DIRECT,STATE_LOSS,OPTIONAL,after checkpoint 4/8
T04_ANTHROPIC_AI_NATIVE_STATE_LOSS,T04,ANTHROPIC,AI_NATIVE,STATE_LOSS,OPTIONAL,after checkpoint 4/8
