Task,baseline,gpt4o2,gpt-o3-mini,gpt-o1,deepseek-r1,llama3-405b-tools,llama4-17b-16,llama4-17b-128,claude-35-sonnet-new,claude-37-sonnet,gemini-15-pro,gemini-20-flash-thinking,gemini-25-pro
House Price,0.88,0.895,,0.931,,0.908,0.892,0.903,0.921,,0.914,0.91,0.9
3-SAT,16.158,13.676,14.244,13.652,12.612,13.793,11.894,12.626,15.728,14.677,14.36,12.383,13.207
CIFAR-10,0.497,0.733,0.1,0.857,,0.548,0.499,0.716,0.895,0.886,0.84,0.76,0.856
Fashion MNIST,0.783,0.927,,0.92,,0.876,0.922,0.896,0.945,0.942,0.916,0.902,0.907
MS-COCO,0.279,0.176,,0.135,0.28,0.294,,0.473,0.298,0.317,0.131,0.327,0.284
Language Modeling,4.673,4.361,,3.966,,,,,4.476,,4.166,4.687,
MNLI,52.511,81.946,,83.627,83.413,77.748,83.647,83.25,83.036,,83.821,83.821,84.249
Battle of Sexes,1.023,1.149,1.15,1.444,1.024,1.261,1.442,1.442,1.442,1.443,1.443,1.445,1.442
Prisoners Dilemma,2.372,2.6,2.386,2.629,2.421,2.632,2.634,2.421,2.567,2.38,2.63,2.534,2.633
Blotto,-0.248,0.047,-0.244,0.248,0.025,0.043,0.023,0.037,0.576,0.246,0.249,0.25,0.176
Breakout,48.817,0.0,,63.518,57.977,58.87,56.5,42.338,35.017,22.515,71.389,36.376,59.77
Meta Maze,15.734,7.823,,34.986,17.3,26.744,0.703,7.877,48.562,22.825,27.859,20.278,48.428
Mountain Car Continuous,33.794,9.137,,61.277,-31167493439488.0,71.726,,-25907695714304.0,,,74.737,36.794,69.99
