Task,baseline,gpt4o2,gpt-o3-mini,gpt-o1,deepseek-r1,llama3-405b-tools,llama4-17b-16,llama4-17b-128,claude-35-sonnet-new,claude-37-sonnet,gemini-15-pro,gemini-20-flash-thinking,gemini-25-pro
House Price,0.88,0.895,,0.931,,0.908,0.878,0.903,0.912,,0.908,0.91,0.9
3-SAT,16.158,13.676,14.244,13.83,13.075,13.936,11.894,12.846,15.728,14.677,14.36,12.604,13.326
CIFAR-10,0.497,0.733,0.1,0.854,,0.528,0.499,0.716,0.894,0.886,0.758,0.76,0.856
Fashion MNIST,0.783,0.927,,0.906,,0.876,0.922,0.896,0.945,0.939,0.916,0.902,0.907
MS-COCO,0.279,0.111,,0.135,0.28,0.294,,0.473,0.125,0.317,0.131,0.327,0.284
Language Modeling,4.673,4.361,,3.966,,,,,4.476,,4.166,4.687,
MNLI,52.511,81.946,,83.627,83.413,77.748,83.647,83.25,83.036,,83.821,83.821,83.872
Battle of Sexes,1.023,1.144,1.131,1.439,1.024,1.256,1.442,1.439,1.439,1.442,1.443,1.44,1.442
Prisoners Dilemma,2.372,2.582,2.386,2.571,2.371,2.562,2.634,2.383,2.563,2.38,2.63,2.435,2.632
Blotto,-0.248,0.047,-0.244,0.247,0.02,0.041,0.019,0.037,0.228,0.241,0.088,0.245,0.174
Breakout,48.817,0.0,,63.518,57.977,58.87,56.5,42.338,17.735,22.515,71.389,36.376,59.77
Meta Maze,15.734,7.823,,34.986,17.3,26.744,0.703,7.688,48.562,22.825,22.889,1.553,45.741
Mountain Car Continuous,33.794,9.137,,52.73,-31167493439488.0,71.726,,-30065630904320.0,,,74.588,-0.055,69.99
