"","population","number.of.drugs","V1","V2","V3","V4","V5","V6","V7","V8"
"ABIRATERONE",1,3,"ABIRATERONE","ERISMODEGIB","TAMOXIFEN",NA,NA,NA,NA,NA
"AFATINIB",2,8,"AFATINIB","CANERTINIB","ERLOTINIB","GEFITINIB","IBRUTINIB","LAPATINIB","NERATINIB","WZ4002"
"ALVOCIDIB",3,4,"ALVOCIDIB","DOXORUBICIN","NARCICLASINE","STAUROSPORINE",NA,NA,NA,NA
"APICIDIN",4,4,"AGK2","APICIDIN","ISOX","THALIDOMIDE",NA,NA,NA,NA
"AZD6482",5,3,"AZD6482","GSK1059615","TGX221",NA,NA,NA,NA,NA
"AZD8055",6,4,"AZD8055","KU0063794","NVPBEZ235","OSI027",NA,NA,NA,NA
"BIX01294",7,5,"BIX01294","BOSUTINIB","NSC23766","TANDUTINIB","UNC0321",NA,NA,NA
"BMS345541",8,4,"BMS345541","HLI373","LINIFANIB","PHA793887",NA,NA,NA,NA
"BMS754807",9,5,"AZD1480","BMS536924","BMS754807","CYTOCHALASINB","LINSITINIB",NA,NA,NA
"BORTEZOMIB",10,3,"BORTEZOMIB","MG132","MLN2238",NA,NA,NA,NA,NA
"BRDK01737880",11,5,"ALISERTIB","BARASERTIB","BRDK01737880","BRDK55116708","OSI930",NA,NA,NA
"BRDK02492147",12,5,"BRDK02492147","BRDK49290616","BRDK86535717","BRDK96431673","FGIN127",NA,NA,NA
"BRDK27224038",13,6,"BRDK13999467","BRDK27224038","BRDK27986637","BRDK50799972","VELIPARIB","VER155008",NA,NA
"BRDK33514849",14,5,"BRDK14844214","BRDK33514849","BRDK63431240","CHIR99021","SILDENAFIL",NA,NA,NA
"BRDK71935468",15,2,"BRDK71935468","BRDK94991378",NA,NA,NA,NA,NA,NA
"CD1530",16,5,"AC55649","AM580","CD1530","CD437","SALERMIDE",NA,NA,NA
"COL3",17,6,"CI976","COL3","GOSSYPOL","PHLORETIN","TIGECYCLINE","TOSEDOSTAT",NA,NA
"CRIZOTINIB",18,4,"AT7867","CRIZOTINIB","NVPTAE684","RUXOLITINIB",NA,NA,NA,NA
"CYCLOPHOSPHAMIDE",19,5,"CYCLOPHOSPHAMIDE","DEXAMETHASONE","GANT61","IFOSFAMIDE","PROCARBAZINE",NA,NA,NA
"DABRAFENIB",20,3,"DABRAFENIB","GDC0879","PLX4720",NA,NA,NA,NA,NA
"DASATINIB",21,4,"AZD7762","DASATINIB","GSK3INHIBITORIX","SARACATINIB",NA,NA,NA,NA
"DECITABINE",22,3,"AZACITIDINE","DECITABINE","ZEBULARINE",NA,NA,NA,NA,NA
"DOCETAXEL",23,4,"DOCETAXEL","PACLITAXEL","PARBENDAZOLE","VINCRISTINE",NA,NA,NA,NA
"ENTINOSTAT",24,6,"BELINOSTAT","ENTINOSTAT","MERCK60","TACEDINALINE","TUBASTATINA","VORINOSTAT",NA,NA
"ETOMOXIR",25,3,"BLEBBISTATIN","CYANOQUINOLINE11","ETOMOXIR",NA,NA,NA,NA,NA
"GMX1778",26,4,"CAY10618","GMX1778","RG108","TIPIFARNIBP2",NA,NA,NA,NA
"GW843682X",27,4,"GSK461364","GW843682X","MK1775","PRL3INHIBITORI",NA,NA,NA,NA
"IMATINIB",28,3,"IMATINIB","MASITINIB","NILOTINIB",NA,NA,NA,NA,NA
"ISOLIQUIRITIGENIN",29,4,"ISOLIQUIRITIGENIN","ITRACONAZOLE","PIFITHRINALPHA","RITA",NA,NA,NA,NA
"ISONICOTINOHYDROXAMICACID",30,3,"BRDK88742110","EX527","ISONICOTINOHYDROXAMICACID",NA,NA,NA,NA,NA
"KI8751",31,5,"AXITINIB","CEDIRANIB","KI8751","SORAFENIB","TIVOZANIB",NA,NA,NA
"KU60019",32,4,"KU55933","KU60019","NECROSTATIN1","SU11274",NA,NA,NA,NA
"LOVASTATIN",33,4,"FLUVASTATIN","LOVASTATIN","PARTHENOLIDE","SIMVASTATIN",NA,NA,NA,NA
"MANUMYCINA",34,3,"CCT036477","MANUMYCINA","TANESPIMYCIN",NA,NA,NA,NA,NA
"MGCD265",35,5,"FORETINIB","MGCD265","NINTEDANIB","PAZOPANIB","QUIZARTINIB",NA,NA,NA
"MYRIOCIN",36,3,"BETULINICACID","MYRIOCIN","TRETINOIN",NA,NA,NA,NA,NA
"NAVITOCLAX",37,3,"ABT737","CIMETIDINE","NAVITOCLAX",NA,NA,NA,NA,NA
