"","population","number.of.drugs","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,8,"AFATINIB","CANERTINIB","ERLOTINIB","GEFITINIB","IBRUTINIB","LAPATINIB","NERATINIB","WZ4002"
"2",2,4,"ALVOCIDIB","DOXORUBICIN","NARCICLASINE","STAUROSPORINE",NA,NA,NA,NA
"3",3,4,"AGK2","APICIDIN","ISOX","THALIDOMIDE",NA,NA,NA,NA
"4",4,3,"AZD6482","GSK1059615","TGX221",NA,NA,NA,NA,NA
"5",5,4,"AZD8055","KU0063794","NVPBEZ235","OSI027",NA,NA,NA,NA
"6",6,5,"BIX01294","BOSUTINIB","NSC23766","TANDUTINIB","UNC0321",NA,NA,NA
"7",7,4,"BMS345541","HLI373","LINIFANIB","PHA793887",NA,NA,NA,NA
"8",8,5,"AZD1480","BMS536924","BMS754807","CYTOCHALASINB","LINSITINIB",NA,NA,NA
"9",9,3,"BORTEZOMIB","MG132","MLN2238",NA,NA,NA,NA,NA
"10",10,5,"ALISERTIB","BARASERTIB","BRDK01737880","BRDK55116708","OSI930",NA,NA,NA
"11",11,6,"BRDK13999467","BRDK27224038","BRDK27986637","BRDK50799972","VELIPARIB","VER155008",NA,NA
"12",12,5,"AC55649","AM580","CD1530","CD437","SALERMIDE",NA,NA,NA
"13",13,4,"AT7867","CRIZOTINIB","NVPTAE684","RUXOLITINIB",NA,NA,NA,NA
"14",14,3,"DABRAFENIB","GDC0879","PLX4720",NA,NA,NA,NA,NA
"15",15,4,"AZD7762","DASATINIB","GSK3INHIBITORIX","SARACATINIB",NA,NA,NA,NA
"16",16,3,"AZACITIDINE","DECITABINE","ZEBULARINE",NA,NA,NA,NA,NA
"17",17,6,"BELINOSTAT","ENTINOSTAT","MERCK60","TACEDINALINE","TUBASTATINA","VORINOSTAT",NA,NA
"18",18,4,"CAY10618","GMX1778","RG108","TIPIFARNIBP2",NA,NA,NA,NA
"19",19,4,"GSK461364","GW843682X","MK1775","PRL3INHIBITORI",NA,NA,NA,NA
"20",20,3,"IMATINIB","MASITINIB","NILOTINIB",NA,NA,NA,NA,NA
"21",21,3,"BRDK88742110","EX527","ISONICOTINOHYDROXAMICACID",NA,NA,NA,NA,NA
"22",22,5,"AXITINIB","CEDIRANIB","KI8751","SORAFENIB","TIVOZANIB",NA,NA,NA
"23",23,4,"KU55933","KU60019","NECROSTATIN1","SU11274",NA,NA,NA,NA
"24",24,4,"FLUVASTATIN","LOVASTATIN","PARTHENOLIDE","SIMVASTATIN",NA,NA,NA,NA
"25",25,5,"FORETINIB","MGCD265","NINTEDANIB","PAZOPANIB","QUIZARTINIB",NA,NA,NA
"26",26,3,"ABT737","CIMETIDINE","NAVITOCLAX",NA,NA,NA,NA,NA
"27",27,6,"CICLOPIROX","MST312","NUTLIN3","OLAPARIB","PAC1","TW37",NA,NA
"28",28,5,"KO143","LE135","OLIGOMYCINA","PF750","VALDECOXIB",NA,NA,NA
"29",29,5,"DARINAPARSIN","FUMONISINB1","PRIMA1","PRIMA1MET","SRT1720",NA,NA,NA
"30",30,2,"SB431542","SB525334",NA,NA,NA,NA,NA,NA
"31",31,4,"SGX523","SITAGLIPTIN","SJ172550","TG100115",NA,NA,NA,NA
"32",32,4,"CHLORAMBUCIL","GEMCITABINE","SN38","TOPOTECAN",NA,NA,NA,NA
"33",33,5,"AVICIND","AZD7545","SIROLIMUS","TACROLIMUS","TEMSIROLIMUS",NA,NA,NA
"34",34,4,"CLOFARABINE","ETOPOSIDE","IMPORTAZOLE","TENIPOSIDE",NA,NA,NA,NA
"35",35,3,"BI2536","KU0060648","TG101348",NA,NA,NA,NA,NA
"36",36,4,"LY2183240","SB225002","TIVANTINIB","YK4279",NA,NA,NA,NA
"37",37,5,"ERASTIN","GW405833","PYRAZOLANTHRONE","SUNITINIB","TPCA1",NA,NA,NA
"38",38,2,"SELUMETINIB","TRAMETINIB",NA,NA,NA,NA,NA,NA
"39",39,7,"BAXCHANNELBLOCKER","CAY10594","FULVESTRANT","PF543","PROCHLORPERAZINE","SERDEMETAN","TRIFLUOPERAZINE",NA
"40",40,4,"GDC0941","MK2206","PI103","ZSTK474",NA,NA,NA,NA
