"","population","number.of.drugs","V1","V2","V3","V4","V5","V6","V7","V8"
"AFATINIB",1,6,"AFATINIB","ERLOTINIB","GEFITINIB","IBRUTINIB","LAPATINIB","TYRPHOSTINAG1478",NA,NA
"ALVESPIMYCIN",2,2,"ALVESPIMYCIN","TANESPIMYCIN",NA,NA,NA,NA,NA,NA
"ARTEMETHER",3,3,"ARTEMETHER","ARTESUNATE","YOHIMBINE",NA,NA,NA,NA,NA
"BENZO(A)PYRENE",4,5,"6AMINOCHRYSENE","BENZO(A)PYRENE","ETACRYNICACID","FULVESTRANT","RALOXIFENE",NA,NA,NA
"CAFFEICACID",5,3,"CAFFEICACID","CAFFEICACIDPHENETHYLESTER","LAVENDUSTINA",NA,NA,NA,NA,NA
"CARMOFUR",6,3,"CARMOFUR","FLUOROURACIL","TEGAFUR",NA,NA,NA,NA,NA
"CHLORAMBUCIL",7,4,"CHLORAMBUCIL","CISPLATIN","MELPHALAN","THIOTEPA",NA,NA,NA,NA
"CLADRIBINE",8,3,"CLADRIBINE","CLOFARABINE","FLUDARABINE",NA,NA,NA,NA,NA
"CLOTRIMAZOLE",9,3,"CLOTRIMAZOLE","HONOKIOL","PMSF",NA,NA,NA,NA,NA
"CYCLOPAMINE",10,3,"CYCLOPAMINE","SOLANINE","THIORPHAN",NA,NA,NA,NA,NA
"CYCLOPHOSPHAMIDE",11,5,"BERBAMINE","CLIOQUINOL","CYCLOPHOSPHAMIDE","FLUCONAZOLE","IFOSFAMIDE",NA,NA,NA
"DABRAFENIB",12,4,"DABRAFENIB","HALOPERIDOL","PD98059","VEMURAFENIB",NA,NA,NA,NA
"DACARBAZINE",13,4,"ALLOPURINOL","DACARBAZINE","MITOTANE","WORTMANNIN",NA,NA,NA,NA
"DAUNORUBICIN",14,8,"ACTINOMYCIND","ALVOCIDIB","CHROMOMYCINA3","DAUNORUBICIN","DOXORUBICIN","EPIRUBICIN","IDARUBICIN","MITOXANTRONE"
"DECITABINE",15,8,"AMONAFIDE","AZACITIDINE","DECITABINE","DIBENZOYLMETHANE","ELLIPTICINE","PHENYLBUTYRATE","RAZOXANE","TUNICAMYCIN"
"DIGOXIN",16,5,"BISACODYL","DIGOXIN","GITOXIGENIN","LANATOSIDEC","OUABAIN",NA,NA,NA
"DIHYDROERGOCRISTINE",17,4,"CYCLOPIAZONICACID","DIHYDROERGOCRISTINE","LASALOCID","NELFINAVIR",NA,NA,NA,NA
"EMETINE",18,3,"CYCLOHEXIMIDE","EMETINE","HOMOHARRINGTONINE",NA,NA,NA,NA,NA
"ETHINYLESTRADIOL",19,3,"ETHINYLESTRADIOL","NOSCAPINE","TRYPTOPHAN",NA,NA,NA,NA,NA
"FENBENDAZOLE",20,3,"FENBENDAZOLE","OXFENDAZOLE","OXIBENDAZOLE",NA,NA,NA,NA,NA
"FENRETINIDE",21,3,"CURCUMIN","FENRETINIDE","STAT3INHIBITORVI",NA,NA,NA,NA,NA
"FLUOCINOLONE",22,4,"ACETYLCYSTEINE","FLUOCINOLONE","FLUPHENAZINE","TRIAMCINOLONE",NA,NA,NA,NA
"FLUOROMETHOLONE",23,6,"DEXAMETHASONE","FLUMETHASONE","FLUOROMETHOLONE","ISOFLUPREDONE","METHYLPREDNISOLONE","NICOTINAMIDE",NA,NA
"FORSKOLIN",24,4,"AMPHOTERICINB","FORSKOLIN","PYRAZOLANTHRONE","SUNITINIB",NA,NA,NA,NA
"GEMCITABINE",25,5,"CYTARABINE","FLOXURIDINE","GEMCITABINE","IDOXURIDINE","RALTITREXED",NA,NA,NA
"HYPERICIN",26,4,"EMODIN","GOSSYPOL","HYPERICIN","PIPAMPERONE",NA,NA,NA,NA
"ISOTRETINOIN",27,5,"CELECOXIB","IMIQUIMOD","ISOTRETINOIN","MIFEPRISTONE","PROGESTERONE",NA,NA,NA
"ITRACONAZOLE",28,4,"ABIRATERONE","ITRACONAZOLE","OLAPARIB","TERCONAZOLE",NA,NA,NA,NA
"KINETINRIBOSIDE",29,3,"KINETINRIBOSIDE","PUROMYCIN","TRICIRIBINE",NA,NA,NA,NA,NA
"LORATADINE",30,4,"CLOFAZIMINE","LORATADINE","RITONAVIR","VALPROICACID",NA,NA,NA,NA
"MALONOBEN",31,4,"HEXACHLOROPHENE","MALONOBEN","TAMOXIFEN","TYRPHOSTINA9",NA,NA,NA,NA
"MEBENDAZOLE",32,5,"CHELIDONINE","FLUBENDAZOLE","LOBENDAZOLE","MEBENDAZOLE","PARBENDAZOLE",NA,NA,NA
"MENADIONE",33,5,"BORTEZOMIB","IDEBENONE","MENADIONE","PLUMBAGIN","SA792541",NA,NA,NA
"MEVASTATIN",34,5,"FLUVASTATIN","LEFLUNOMIDE","LOVASTATIN","MEVASTATIN","SIMVASTATIN",NA,NA,NA
"MONASTROL",35,3,"CALYCANTHINE","MONASTROL","NAVITOCLAX",NA,NA,NA,NA,NA
"NILOTINIB",36,2,"IMATINIB","NILOTINIB",NA,NA,NA,NA,NA,NA
"NOBILETIN",37,2,"NOBILETIN","RHAMNETIN",NA,NA,NA,NA,NA,NA
"OLIGOMYCINA",38,4,"METHYLENEBLUE","NONOXYNOL9","OLIGOMYCINA","OLIGOMYCINC",NA,NA,NA,NA
"OSI027",39,4,"CRIZOTINIB","LY294002","NICLOSAMIDE","OSI027",NA,NA,NA,NA
"OXIDOPAMINE",40,6,"AG957","NBROMOACETYLTRYPTAMINE","OXIDOPAMINE","PENTAMIDINE","PURPUROGALLIN","TERTBUTYLHYDROQUINONE",NA,NA
"PACLITAXEL",41,3,"BACCATINIII","DOCETAXEL","PACLITAXEL",NA,NA,NA,NA,NA
"PHENETHYLISOTHIOCYANATE",42,6,"BRDK00910650","CADMIUMCHLORIDE","ELESCLOMOL","GEDUNIN","PHENETHYLISOTHIOCYANATE","SULOCTIDIL",NA,NA
"PIMOZIDE",43,4,"ALLANTOIN","BOSUTINIB","PIMOZIDE","SPIPERONE",NA,NA,NA,NA
"PONATINIB",44,5,"AXITINIB","DASATINIB","FOSTAMATINIB","PAZOPANIB","PONATINIB",NA,NA,NA
"PYRIMETHAMINE",45,3,"METHOTREXATE","NIFUROXAZIDE","PYRIMETHAMINE",NA,NA,NA,NA,NA
"ROSCOVITINE",46,5,"DIPYRIDAMOLE","KENPAULLONE","NITAZOXANIDE","ROSCOVITINE","ROTENONE",NA,NA,NA
"RYANODINE",47,4,"PEMETREXED","PROBUCOL","RADICICOL","RYANODINE",NA,NA,NA,NA
"SELUMETINIB",48,3,"PD184352","SELUMETINIB","TRAMETINIB",NA,NA,NA,NA,NA
"STAUROSPORINE",49,2,"MIDOSTAURIN","STAUROSPORINE",NA,NA,NA,NA,NA,NA
"SULFAQUINOXALINE",50,2,"CINCHONINE","SULFAQUINOXALINE",NA,NA,NA,NA,NA,NA
"SULFATHIAZOLE",51,6,"HEXAMETHYLENEBISACETAMIDE","LESTAURTINIB","OFLOXACIN","PROCARBAZINE","SULFATHIAZOLE","TREMULACIN",NA,NA
"TEMSIROLIMUS",52,3,"CYTOCHALASINB","EVEROLIMUS","TEMSIROLIMUS",NA,NA,NA,NA,NA
"TENIPOSIDE",53,4,"AMSACRINE","ETOPOSIDE","PODOPHYLLOTOXIN","TENIPOSIDE",NA,NA,NA,NA
"TERREICACID",54,5,"ASCORBICACID","CELASTROL","HALOPROGIN","PRIMA1","TERREICACID",NA,NA,NA
"TOPOTECAN",55,4,"BISBENZIMIDE","CAMPTOTHECIN","IRINOTECAN","TOPOTECAN",NA,NA,NA,NA
"VINBLASTINE",56,5,"COLCHICINE","NOCODAZOLE","VINBLASTINE","VINCRISTINE","VINORELBINE",NA,NA,NA
"VORINOSTAT",57,5,"BELINOSTAT","ENTINOSTAT","PYROXAMIDE","THMI94","VORINOSTAT",NA,NA,NA
"WITHAFERINA",58,5,"OBATOCLAX","PARTHENOLIDE","PROSTRATIN","THAPSIGARGIN","WITHAFERINA",NA,NA,NA
